lat,lon,aridity_index
89.5833,-179.5833,0.0
89.5833,-178.75,0.0
89.5833,-177.9167,0.0
89.5833,-177.0833,0.0
89.5833,-176.25,0.0
89.5833,-175.4167,0.0
89.5833,-174.5833,0.0
89.5833,-173.75,0.0
89.5833,-172.9167,0.0
89.5833,-172.0833,0.0
89.5833,-171.25,0.0
89.5833,-170.4167,0.0
89.5833,-169.5833,0.0
89.5833,-168.75,0.0
89.5833,-167.9167,0.0
89.5833,-167.0833,0.0
89.5833,-166.25,0.0
89.5833,-165.4167,0.0
89.5833,-164.5833,0.0
89.5833,-163.75,0.0
89.5833,-162.9167,0.0
89.5833,-162.0833,0.0
89.5833,-161.25,0.0
89.5833,-160.4167,0.0
89.5833,-159.5833,0.0
89.5833,-158.75,0.0
89.5833,-157.9167,0.0
89.5833,-157.0833,0.0
89.5833,-156.25,0.0
89.5833,-155.4167,0.0
89.5833,-154.5833,0.0
89.5833,-153.75,0.0
89.5833,-152.9167,0.0
89.5833,-152.0833,0.0
89.5833,-151.25,0.0
89.5833,-150.4167,0.0
89.5833,-149.5833,0.0
89.5833,-148.75,0.0
89.5833,-147.9167,0.0
89.5833,-147.0833,0.0
89.5833,-146.25,0.0
89.5833,-145.4167,0.0
89.5833,-144.5833,0.0
89.5833,-143.75,0.0
89.5833,-142.9167,0.0
89.5833,-142.0833,0.0
89.5833,-141.25,0.0
89.5833,-140.4167,0.0
89.5833,-139.5833,0.0
89.5833,-138.75,0.0
89.5833,-137.9167,0.0
89.5833,-137.0833,0.0
89.5833,-136.25,0.0
89.5833,-135.4167,0.0
89.5833,-134.5833,0.0
89.5833,-133.75,0.0
89.5833,-132.9167,0.0
89.5833,-132.0833,0.0
89.5833,-131.25,0.0
89.5833,-130.4167,0.0
89.5833,-129.5833,0.0
89.5833,-128.75,0.0
89.5833,-127.9167,0.0
89.5833,-127.0833,0.0
89.5833,-126.25,0.0
89.5833,-125.4167,0.0
89.5833,-124.5833,0.0
89.5833,-123.75,0.0
89.5833,-122.9167,0.0
89.5833,-122.0833,0.0
89.5833,-121.25,0.0
89.5833,-120.4167,0.0
89.5833,-119.5833,0.0
89.5833,-118.75,0.0
89.5833,-117.9167,0.0
89.5833,-117.0833,0.0
89.5833,-116.25,0.0
89.5833,-115.4167,0.0
89.5833,-114.5833,0.0
89.5833,-113.75,0.0
89.5833,-112.9167,0.0
89.5833,-112.0833,0.0
89.5833,-111.25,0.0
89.5833,-110.4167,0.0
89.5833,-109.5833,0.0
89.5833,-108.75,0.0
89.5833,-107.9167,0.0
89.5833,-107.0833,0.0
89.5833,-106.25,0.0
89.5833,-105.4167,0.0
89.5833,-104.5833,0.0
89.5833,-103.75,0.0
89.5833,-102.9167,0.0
89.5833,-102.0833,0.0
89.5833,-101.25,0.0
89.5833,-100.4167,0.0
89.5833,-99.5833,0.0
89.5833,-98.75,0.0
89.5833,-97.9167,0.0
